so,thread_limit,size,x,y,z,execution time,begin temperature,end temperature
8,512,800,8,4,16,0.16858,38,38
8,1024,800,8,4,32,0.163221,38,38
8,128,800,8,8,2,0.661429,38,38
8,256,800,8,8,4,0.335722,38,38
8,512,800,8,8,8,0.202533,38,38
8,1024,800,8,8,16,0.170447,38,38
8,256,800,8,16,2,0.660416,38,38
8,512,800,8,16,4,0.335041,38,38
8,1024,800,8,16,8,0.202867,38,38
8,512,800,8,32,2,0.664907,38,38
8,1024,800,8,32,4,0.340914,38,38
8,1024,800,8,64,2,0.669601,38,38
8,64,800,16,2,2,0.844606,38,39
8,128,800,16,2,4,0.424015,39,38
8,256,800,16,2,8,0.217133,38,38
8,512,800,16,2,16,0.166186,38,38
8,1024,800,16,2,32,0.161388,38,38
8,128,800,16,4,2,0.671974,38,38
8,256,800,16,4,4,0.337617,38,38
8,512,800,16,4,8,0.199837,38,38
8,1024,800,16,4,16,0.166499,38,38
8,256,800,16,8,2,0.658846,38,38
8,512,800,16,8,4,0.334765,38,38
8,1024,800,16,8,8,0.199304,38,38
8,512,800,16,16,2,0.662636,38,38
8,1024,800,16,16,4,0.338681,38,38
8,1024,800,16,32,2,0.667338,38,38
8,128,800,32,2,2,1.069935,38,39
8,256,800,32,2,4,0.489787,39,39
8,512,800,32,2,8,0.252026,39,38
8,1024,800,32,2,16,0.163737,39,38
8,256,800,32,4,2,0.692914,38,39
8,512,800,32,4,4,0.338172,39,38
8,1024,800,32,4,8,0.203452,38,39
8,512,800,32,8,2,0.660629,39,38
8,1024,800,32,8,4,0.339586,39,39
8,1024,800,32,16,2,0.664695,39,39
8,256,800,64,2,2,1.207973,39,39
8,512,800,64,2,4,0.554261,39,39
8,1024,800,64,2,8,0.288479,39,39
8,512,800,64,4,2,0.747988,39,39
8,1024,800,64,4,4,0.355116,39,39
8,1024,800,64,8,2,0.662525,39,39
16,8,800,2,2,2,1.080518,39,39
16,16,800,2,2,4,0.609136,39,39
16,32,800,2,2,8,0.389601,39,39
16,64,800,2,2,16,0.327617,39,39
16,128,800,2,2,32,0.301106,39,39
16,256,800,2,2,64,0.295774,39,39
16,16,800,2,4,2,1.061812,39,39
16,32,800,2,4,4,0.595378,39,39
16,64,800,2,4,8,0.342808,39,40
16,128,800,2,4,16,0.309862,40,39
16,256,800,2,4,32,0.290243,39,39
16,512,800,2,4,64,0.288941,39,39
16,32,800,2,8,2,1.109342,39,39
16,64,800,2,8,4,0.543135,39,39
16,128,800,2,8,8,0.343016,39,39
16,256,800,2,8,16,0.298511,39,39
16,512,800,2,8,32,0.287938,39,39
16,1024,800,2,8,64,0.293946,39,39
16,64,800,2,16,2,1.018466,39,39
16,128,800,2,16,4,0.55569,39,39
16,256,800,2,16,8,0.328153,39,39
16,512,800,2,16,16,0.298731,39,39
16,1024,800,2,16,32,0.29621,39,39
16,128,800,2,32,2,1.040204,39,39
16,256,800,2,32,4,0.50847,39,39
16,512,800,2,32,8,0.320848,39,39
16,1024,800,2,32,16,0.308344,39,39
16,256,800,2,64,2,0.975073,39,39
16,512,800,2,64,4,0.494057,39,39
16,1024,800,2,64,8,0.330138,39,39
16,16,800,4,2,2,1.02859,39,39
16,32,800,4,2,4,0.582849,39,39
16,64,800,4,2,8,0.295921,39,39
16,128,800,4,2,16,0.25743,39,38
16,256,800,4,2,32,0.233151,39,38
16,512,800,4,2,64,0.24468,38,38
16,32,800,4,4,2,1.195945,38,39
16,64,800,4,4,4,0.495853,39,38
16,128,800,4,4,8,0.292577,38,38
16,256,800,4,4,16,0.239796,38,38
16,512,800,4,4,32,0.239222,38,38
16,1024,800,4,4,64,0.247941,38,38
16,64,800,4,8,2,0.959761,38,38
16,128,800,4,8,4,0.528912,38,38
16,256,800,4,8,8,0.283864,38,38
16,512,800,4,8,16,0.241773,38,37
16,1024,800,4,8,32,0.244112,37,37
16,128,800,4,16,2,1.012105,37,38
16,256,800,4,16,4,0.487708,38,38
16,512,800,4,16,8,0.282613,38,37
16,1024,800,4,16,16,0.25402,37,37
