so,thread_limit,iteration,x,y,z,execution time, begin temperature,end temperature
8,128,800,64,4,4,0.451862,39,39
8,128,800,64,8,2,0.69284,39,39
8,256,800,2,2,2,8.36638,39,41
8,256,800,2,2,4,4.325887,40,41
8,256,800,2,2,8,2.256188,40,41
8,256,800,2,2,16,1.163298,40,40
8,256,800,2,2,32,0.628083,40,40
8,256,800,2,2,64,0.370927,40,40
8,256,800,2,4,2,4.383553,39,40
8,256,800,2,4,4,2.275825,40,40
8,256,800,2,4,8,1.190489,40,39
8,256,800,2,4,16,0.630229,39,39
8,256,800,2,4,32,0.37709,39,39
8,256,800,2,4,64,0.319999,39,39
8,256,800,2,8,2,2.391726,38,39
8,256,800,2,8,4,1.245719,39,39
8,256,800,2,8,8,0.666341,38,38
8,256,800,2,8,16,0.380803,38,38
8,256,800,2,8,32,0.321405,38,38
8,256,800,2,8,64,0.296964,38,38
8,256,800,2,16,2,1.404902,38,38
8,256,800,2,16,4,0.723769,38,38
8,256,800,2,16,8,0.403874,38,38
8,256,800,2,16,16,0.327949,38,38
8,256,800,2,16,32,0.300705,38,38
8,256,800,2,32,2,0.974515,38,38
8,256,800,2,32,4,0.505622,38,38
8,256,800,2,32,8,0.350626,38,38
8,256,800,2,32,16,0.306549,38,38
8,256,800,2,64,2,0.775117,38,38
8,256,800,2,64,4,0.447726,38,38
8,256,800,2,64,8,0.328917,38,38
8,256,800,4,2,2,3.956952,38,39
8,256,800,4,2,4,2.060071,39,39
8,256,800,4,2,8,1.09521,39,39
8,256,800,4,2,16,0.589604,39,39
8,256,800,4,2,32,0.352713,39,39
8,256,800,4,2,64,0.304071,38,38
8,256,800,4,4,2,2.154399,38,39
8,256,800,4,4,4,1.13534,39,39
8,256,800,4,4,8,0.610263,39,39
8,256,800,4,4,16,0.35469,39,39
8,256,800,4,4,32,0.306869,39,39
8,256,800,4,4,64,0.279432,38,38
8,256,800,4,8,2,1.343518,38,39
8,256,800,4,8,4,0.700734,39,39
8,256,800,4,8,8,0.38602,39,39
8,256,800,4,8,16,0.312482,39,39
8,256,800,4,8,32,0.279397,39,39
8,256,800,4,16,2,0.960207,39,39
8,256,800,4,16,4,0.497618,39,39
8,256,800,4,16,8,0.332563,39,39
8,256,800,4,16,16,0.287869,39,39
8,256,800,4,32,2,0.765343,39,39
8,256,800,4,32,4,0.433283,39,39
8,256,800,4,32,8,0.310103,39,39
8,256,800,4,64,2,0.730339,39,39
8,256,800,4,64,4,0.40702,39,39
8,256,800,8,2,2,2.136888,39,40
8,256,800,8,2,4,1.126235,39,40
8,256,800,8,2,8,0.604812,39,39
